"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"2447","ALBAÑIL","CODIGO DE TRABAJO","3.01.01.001.001.5.1.01.05","","578","6936","54.59","35.42","77.12","0","167.13","","","","","","","","","","","",""
"2448","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"2449","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2450","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2451","MEDICO RESIDENTE","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 6","1412","16944","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"2452","COCINERA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Servicios 2","553","6636","46.08","35.42","0","0","81.5","","","","","","","","","","","",""
"2453","PEON","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2454","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2455","SECRETARIA","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2456","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","58.55","35.42","141.57","0","235.54","","","","","","","","","","","",""
"2457","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2458","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","59.04","35.42","147.42","0","241.88","","","","","","","","","","","",""
"2459","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2460","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","66.44","35.42","236.25","0","338.11","","","","","","","","","","","",""
"2461","ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"2462","TECNICO JURIDICO","LOSEP-SOC","1.02.01.001.001.5.1.05.10","Servidor Público 1","817","8170","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2463","COORDINADOR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2464","AYUDANTE DE SERVICIOS ADMINISTRATIVOS","CODIGO DE TRABAJO","1.02.01.001.001.5.1.01.06","","611","7332","50.92","35.42","0","0","86.34","","","","","","","","","","","",""
"2465","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2466","DIRECTOR DE GESTION AMBIENTAL","LOSEP","3.07.01.001.001.5.1.01.05","Nivel Jerárquico Superior 1","2115","15862.5","176.25","35.42","0","0","211.67","","","","","","","","","","","",""
"2467","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","596","7152","56.28","35.42","79.36","0","171.06","","","","","","","","","","","",""
"2468","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"2469","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","50.65","35.42","46.8","0","132.87","","","","","","","","","","","",""
"2470","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","60.2","35.42","161.37","0","256.99","","","","","","","","","","","",""
"2471","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2472","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2473","ALBAÑIL","CODIGO DE TRABAJO","3.03.02.001.001.6.1.01.06","","578","6936","54.59","35.42","77.12","0","167.13","","","","","","","","","","","",""
"2474","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2475","PROFESORA PARVULARIA","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2476","JORNALERO","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","561","6732","64.69","35.42","215.28","0","315.39","","","","","","","","","","","",""
"2477","AUXILIAR DE MANTENIMIENTO","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","61.18","35.42","173.16","0","269.76","","","","","","","","","","","",""
"2478","JORNALERO","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","561","6732","61.57","35.42","177.84","0","274.83","","","","","","","","","","","",""
"2479","JORNALERO","CODIGO DE TRABAJO","1.03.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2480","INSPECTOR","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2481","MÚSICO DE BANDA MUNICIPAL","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"2482","CHOFER","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","596","7152","69.09","35.42","233.12","0","337.63","","","","","","","","","","","",""
"2483","SECRETARIA","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2484","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2485","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2486","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2487","JORNALERO","CODIGO DE TRABAJO","1.03.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2488","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2489","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2490","ADMINISTRADOR PARROQUIAL ZONAL 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","6045.8","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2491","ASISTENTE  ADMINISTRATIVO","LOSEP","4.05.01.001.001.5.1.01.05","Servidor Público de Servicios 1","527","6324","43.92","35.42","0","0","79.34","","","","","","","","","","","",""
"2492","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2493","ABOGADO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 5","1212","2989.6","101","35.42","0","0","136.42","","","","","","","","","","","",""
"2494","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2495","ALBAÑIL","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"2496","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2497","CARPINTERO","CODIGO DE TRABAJO","2.03.01.001.001.7.1.01.06","","578","6936","59.61","35.42","137.37","0","232.4","","","","","","","","","","","",""
"2498","ARQUITECTO 1","LOSEP","3.04.03.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"2499","AUXILIAR DE ARCHIVO","LOSEP","3.04.03.001.001.5.1.01.05","Servidor Público de Servicios 1","527","7471.5","43.92","35.42","0","0","79.34","","","","","","","","","","","",""
"2500","OFICINISTA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2501","CONSERJE","CODIGO DE TRABAJO","3.04.04.001.001.7.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"2502","SECRETARIA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","60","35.42","44.96","0","140.38","","","","","","","","","","","",""
"2503","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2504","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2505","OFICINISTA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"2506","AYUDANTE DE COCINA","CODIGO DE TRABAJO","2.03.01.014.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2507","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","47.91","35.42","13.9","0","97.23","","","","","","","","","","","",""
"2508","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","596","7152","69.51","35.42","238.08","0","343.01","","","","","","","","","","","",""
"2509","CONSERJE","CODIGO DE TRABAJO","4.01.05.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2510","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","61.74","35.42","179.9","0","277.06","","","","","","","","","","","",""
"2511","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2512","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","58.45","35.42","140.4","0","234.27","","","","","","","","","","","",""
"2513","CHOFER","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"2514","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2515","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2516","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2517","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2518","ANALISTA JURIDICO DE TRANSITO","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"2519","ANALISTA JURIDICO 2","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2520","AYUDANTE DE AVALÚOS Y CATASTROS","LOSEP","3.04.04.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2521","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","3066.8","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2522","COORDINADORA DE PLANIFICACION Y PROCESOS ADMINISTRATIVOS","LOSEP-SOC","1.07.01.001.001.5.1.05.10","Servidor Público 5","1212","9049.6","101","35.42","0","0","136.42","","","","","","","","","","","",""
"2523","ARQUITECTO 2","LOSEP-SOC","3.04.06.002.001.7.1.05.10","Servidor Público 2","901","3273.63","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2524","DIRECTOR GENERAL DE MOVILIDAD, TRANSITO Y TRANSPORTE (E)","LOSEP","4.01.03.001.001.7.1.01.05","Nivel Jerárquico Superior 1","2226","19163.72","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"2525","CHOFER DE VEHICULOS PESADOS","CODIGO DE TRABAJO","3.07.03.001.001.7.1.01.06","","637","7644","53.08","35.42","0","0","88.5","","","","","","","","","","","",""
"2526","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2527","INSPECTOR DE HIGIENE Y ASEO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","773","9276","64.42","35.42","0","0","99.84","","","","","","","","","","","",""
"2528","ASISTENTE DOCUMENTAL","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2529","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","2393.6","49.87","35.42","37.44","0","122.73","","","","","","","","","","","",""
"2530","enfermera","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2531","INSPECTOR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2532","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","3796.1","49.36","35.42","31.31","0","116.09","","","","","","","","","","","",""
"2533","INSPECTOR","LOSEP","3.01.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2534","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2535","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2536","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2537","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2538","COORDINADOR DE BASE DE DATOS Y NOMINA(E)","LOSEP","1.07.01.001.001.5.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"2539","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2540","OPERADOR DE PLANTA DE TRATAMIENTO DE AGUA POTABLE","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","541.2","8659.2","45.1","25.97","0","0","71.07","","","","","","","","","","","",""
"2541","CHOFER","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","596","7152","69.51","35.42","238.08","0","343.01","","","","","","","","","","","",""
"2542","GUARDALMACEN 3","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2543","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"2544","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","596","7152","69.09","35.42","233.12","0","337.63","","","","","","","","","","","",""
"2545","CHOFER DE  RECOLECTOR","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","614","7368","68.23","35.42","204.8","0","308.45","","","","","","","","","","","",""
"2546","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","596","7152","62.89","35.42","158.72","0","257.03","","","","","","","","","","","",""
"2547","CHOFER","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","596","7152","64.34","35.42","176.08","0","275.84","","","","","","","","","","","",""
"2548","JORNALERO","CODIGO DE TRABAJO","1.01.02.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2549","INSPECTOR","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2550","AUXILIAR DE TOPOGRAFIA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Servicios 2","553","6636","55.28","35.42","110.4","0","201.1","","","","","","","","","","","",""
"2551","OPERADOR DE EXCAVADORA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","69.71","35.42","98.56","0","203.69","","","","","","","","","","","",""
"2552","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2553","JEFE DE CONTABILIDAD (E)","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 7","1676","21762","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"2554","INSPECTOR","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2555","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6969.43","56.11","35.42","112.32","0","203.85","","","","","","","","","","","",""
"2556","ANALISTA DE RECURSOS HUMANOS","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"2557","ESPECIALISTA JURIDICO 2","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"2558","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","68.18","35.42","257.12","0","360.72","","","","","","","","","","","",""
"2559","CHOFER","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","596","7152","70.43","35.42","249.14","0","354.99","","","","","","","","","","","",""
"2560","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","596","7152","69.3","35.42","235.6","0","340.32","","","","","","","","","","","",""
"2561","OPERADOR DE RETROEXCABADORA","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","738","8856","67.92","35.42","77","0","180.34","","","","","","","","","","","",""
"2562","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2563","ADMINISTRADOR DEL CENTRO DE RETENCIÓN VEHICULAR","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2564","INGENIERO CIVIL 1","LOSEP","3.06.01.001.001.7.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"2565","TECNICO ADMINISTRATIVO","LOSEP","4.05.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2566","SECRETARIA","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2567","OFICINISTA","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2568","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2569","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2570","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","51.34","35.42","55.13","0","141.89","","","","","","","","","","","",""
"2571","DIRECTOR DEL CENTRO DE APOYO SOCIAL MUNICIPAL (E)","LOSEP","2.03.01.001.001.7.1.01.05","Nivel Jerárquico Superior 1","2226","20043.32","185.5","35.42","0","0","220.92","","","","","","","","","","","",""
"2572","OFICINISTA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2573","RECAUDADORA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2574","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2575","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2576","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2577","JEFE DE RENTAS","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 7","1676","4608.93","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"2578","TÉCNICO ADMINISTRATIVO","LOSEP-SOC","4.01.06.001.001.7.1.05.10","Servidor Público de Apoyo 4","733","9323.44","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2579","RECAUDADORA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2580","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2581","VETERINARIO","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2582","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2583","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2584","COORDINADORA DE GESTION DOCUMENTAL Y ARCHIVO","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 3","986","7329.27","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"2585","SARGENTO","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"2586","CONSERJE","CODIGO DE TRABAJO","2.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2587","JEFE DE PROMOCION POPULAR","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 6","1412","11688.15","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"2588","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2589","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2590","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2591","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2592","CONTROLADOR OPERACIONAL","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","578","1367.93","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"2593","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","54.94","35.42","98.28","0","188.64","","","","","","","","","","","",""
"2594","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2595","MECANICO","LOSEP","3.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2596","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"2597","PROMOTOR SOCIAL","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"2598","COORDINADOR DE PRESUPUESTO","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"2599","PEON","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","59.23","35.42","149.76","0","244.41","","","","","","","","","","","",""
"2600","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2601","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"2602","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","47.52","35.42","9.27","0","92.21","","","","","","","","","","","",""
