"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"121","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"122","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","3122.9","67.4","35.42","247.81","0","350.63","","","","","","","","","","","",""
"123","BIBLIOTECARIA 1","LOSEP","2.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"124","SARGENTO","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8366.96","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"125","COORDINADOR DE TALENTO HUMANO","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público 3","986","11832","93.13","35.42","131.52","0","260.07","","","","","","","","","","","",""
"126","ENFERMERA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"127","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"128","CONSERJE","CODIGO DE TRABAJO","2.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"129","RECAUDADORA","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"130","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"131","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"132","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"133","ESPECIALISTA DE CONTROL Y LICENCIAMIENTO AMBIENTAL","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público 5","1212","14382.4","101","35.42","0","0","136.42","","","","","","","","","","","",""
"134","JORNALERO","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","561","6732","60.4","35.42","163.8","0","259.62","","","","","","","","","","","",""
"135","AYUDANTE DE SERVICIOS ADMINISTRATIVOS ","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"136","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
